[2025-07-03 16:11:46] High Memory usage: 100.52MB | PID: 16888 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 100.52MB | Parent: Code.exe
[2025-07-03 16:11:47] High Memory usage: 227.57MB | PID: 4344 | Name: TextInputHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe | CPU: 0.00% | Memory: 227.57MB | Parent: svchost.exe
[2025-07-03 16:11:47] High Memory usage: 185.93MB | PID: 17784 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 185.93MB | Parent: Code.exe
[2025-07-03 16:11:47] High Memory usage: 131.86MB | PID: 18308 | Name: msedgewebview2.exe | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe | CPU: 0.00% | Memory: 131.86MB | Parent: msedgewebview2.exe
[2025-07-03 16:11:50] High CPU usage: 954.20% | PID: 0 | Name: System Idle Process | Path: Access Denied | CPU: 954.20% | Memory: 0.01MB | Parent: Unknown
[2025-07-03 16:11:50] High Memory usage: 245.41MB | PID: 5204 | Name: MsMpEng.exe | Path: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe | CPU: 0.00% | Memory: 245.41MB | Parent: services.exe
[2025-07-03 16:11:51] High Memory usage: 103.66MB | PID: 5508 | Name: SearchHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | CPU: 0.00% | Memory: 103.66MB | Parent: svchost.exe
[2025-07-03 16:11:52] High Memory usage: 139.61MB | PID: 6672 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 139.61MB | Parent: explorer.exe
[2025-07-03 16:11:52] Suspicious parent-child chain: cmd.exe -> python.exe | PID: 7008 | Name: python.exe | Path: C:\Users\syeda\AppData\Local\Programs\Python\Python313\python.exe | CPU: 0.00% | Memory: 35.19MB | Parent: cmd.exe
[2025-07-03 16:11:53] High Memory usage: 400.05MB | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 400.05MB | Parent: chrome.exe
[2025-07-03 16:11:54] High Memory usage: 115.24MB | PID: 7924 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 115.24MB | Parent: explorer.exe
[2025-07-03 16:11:54] High Memory usage: 305.59MB | PID: 8080 | Name: explorer.exe | Path: C:\Windows\explorer.exe | CPU: 0.00% | Memory: 305.59MB | Parent: Zombie
[2025-07-03 16:11:56] High Memory usage: 123.35MB | PID: 8928 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 123.35MB | Parent: chrome.exe
[2025-07-03 16:11:57] High Memory usage: 114.54MB | PID: 10096 | Name: msedgewebview2.exe | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\137.0.3296.93\msedgewebview2.exe | CPU: 0.00% | Memory: 114.54MB | Parent: msedgewebview2.exe
[2025-07-03 16:11:57] High Memory usage: 187.15MB | PID: 4000 | Name: MemCompression | Path: MemCompression | CPU: 0.00% | Memory: 187.15MB | Parent: System
[2025-07-03 16:11:58] High Memory usage: 120.47MB | PID: 11216 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 120.47MB | Parent: Code.exe
[2025-07-03 16:11:58] High Memory usage: 227.59MB | PID: 4344 | Name: TextInputHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe | CPU: 0.00% | Memory: 227.59MB | Parent: svchost.exe
[2025-07-03 16:11:58] High CPU usage: 31.10% | PID: 11776 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 31.10% | Memory: 106.84MB | Parent: Code.exe
[2025-07-03 16:11:58] High Memory usage: 106.84MB | PID: 11776 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 31.10% | Memory: 106.84MB | Parent: Code.exe
[2025-07-03 16:11:59] High Memory usage: 319.17MB | PID: 11940 | Name: ChatGPT.exe | Path: C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.153.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe | CPU: 0.00% | Memory: 319.17MB | Parent: ChatGPT.exe
[2025-07-03 16:11:59] High Memory usage: 217.81MB | PID: 12328 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 217.81MB | Parent: Code.exe
[2025-07-03 16:12:00] High Memory usage: 154.83MB | PID: 12848 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 154.83MB | Parent: Code.exe
[2025-07-03 16:12:01] High Memory usage: 222.30MB | PID: 5204 | Name: MsMpEng.exe | Path: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe | CPU: 0.00% | Memory: 222.30MB | Parent: services.exe
[2025-07-03 16:12:02] High Memory usage: 103.68MB | PID: 5508 | Name: SearchHost.exe | Path: C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | CPU: 0.00% | Memory: 103.68MB | Parent: svchost.exe
[2025-07-03 16:12:02] High Memory usage: 274.20MB | PID: 14768 | Name: Grammarly.Desktop.exe | Path: C:\Users\syeda\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe | CPU: 15.60% | Memory: 274.20MB | Parent: explorer.exe
[2025-07-03 16:12:03] Suspicious parent-child chain: cmd.exe -> conhost.exe | PID: 15140 | Name: conhost.exe | Path: C:\Windows\System32\conhost.exe | CPU: 0.00% | Memory: 22.63MB | Parent: cmd.exe
[2025-07-03 16:12:03] High Memory usage: 140.79MB | PID: 6672 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 140.79MB | Parent: explorer.exe
[2025-07-03 16:12:03] Suspicious parent-child chain: cmd.exe -> python.exe | PID: 7008 | Name: python.exe | Path: C:\Users\syeda\AppData\Local\Programs\Python\Python313\python.exe | CPU: 0.00% | Memory: 35.73MB | Parent: cmd.exe
[2025-07-03 16:12:03] High Memory usage: 199.03MB | PID: 16000 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 0.00% | Memory: 199.03MB | Parent: explorer.exe
[2025-07-03 16:12:03] High Memory usage: 113.11MB | PID: 16196 | Name: Copilot.exe | Path: C:\Program Files\WindowsApps\Microsoft.Copilot_1.25062.106.0_x64__8wekyb3d8bbwe\Copilot.exe | CPU: 0.00% | Memory: 113.11MB | Parent: sihost.exe
[2025-07-03 16:12:03] High Memory usage: 107.84MB | PID: 16268 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 107.84MB | Parent: Code.exe
[2025-07-03 16:12:04] High CPU usage: 31.20% | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 31.20% | Memory: 403.54MB | Parent: chrome.exe
[2025-07-03 16:12:04] High Memory usage: 403.54MB | PID: 7188 | Name: chrome.exe | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | CPU: 31.20% | Memory: 403.54MB | Parent: chrome.exe
[2025-07-03 16:12:04] High Memory usage: 100.65MB | PID: 16888 | Name: Code.exe | Path: C:\Users\syeda\AppData\Local\Programs\Microsoft VS Code\Code.exe | CPU: 0.00% | Memory: 100.65MB | Parent: Code.exe
